"runName","chain","repId","rootConfig","count","nTrees"
"v4-v4c-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C2,C3,C4,D1,D2,D3,D4",25,183
"v4-v4c-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C3,C4,D1,D2,D3,D4",70,183
"v4-v4c-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C4,D1,D2,D3,D4",10,183
"v4-v4c-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",1,183
"v4cross-b-blind","blind",NA,"A1,A2",34,174
"v4cross-b-blind","blind",NA,"A1,A2,A3",19,174
"v4cross-b-blind","blind",NA,"A1,A2,A3,A4",24,174
"v4cross-b-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",24,174
"v4cross-b-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4",15,174
"v4cross-b-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",2,174
"v4cross-b-blind","blind",NA,"A1,A2,A3,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",51,174
"v4cross-b-blind","blind",NA,"A1,A2,A3,C1,C2,C3,C4",1,174
"v4cross-b-blind","blind",NA,"A1,A2,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",4,174
"v4cross-b-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B4,C1,C2,C3,C4,D1,D2,D3,D4",25,182
"v4cross-b-aware","aware",NA,"A1,A2,A3,A4,B1,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",54,182
"v4cross-b-aware","aware",NA,"A1,A2,A3,A4,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",54,182
"v4cross-b-aware","aware",NA,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",17,182
"v4cross-b-aware","aware",NA,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",10,182
"v4cross-b-aware","aware",NA,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",22,182
"v4cross-b-pt-blind","blind",NA,"A1",5,183
"v4cross-b-pt-blind","blind",NA,"A1,A2",40,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4",4,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4",21,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D4",1,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D3,D4",1,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D4",1,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4",1,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C4,D1,D2,D3,D4",1,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C3,C4,D1,D2,D3,D4",4,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C2,C3,C4,D1,D2,D3,D4",1,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C3,C4,D1,D2,D3,D4",3,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C4,D1,D2,D3,D4",3,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B3,B4,D1,D2,D3,D4",3,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B1,B2,B4,C1,C2,C3,C4,D1,D2,D3,D4",6,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",2,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,B4,C1,C2,C3,C4,D1,D2,D3,D4",5,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4",58,183
"v4cross-b-pt-blind","blind",NA,"A1,A2,A3,A4,C1,C2,C3,C4,D1,D2,D3,D4",1,183
"v4cross-b-pt-blind","blind",NA,"A1,A3,A4,B1,B2,B3,B4,C1,C2,C3,C4,D1,D2,D3,D4",22,183
"v4cross-b-pt-aware","aware",NA,"A1,A2",22,183
"v4cross-b-pt-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C3,D1,D2,D3,D4",45,183
"v4cross-b-pt-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C2,C4,D1,D2,D3,D4",8,183
"v4cross-b-pt-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C1,C3,C4,D1,D2,D3,D4",48,183
"v4cross-b-pt-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C2,C3,C4,D1,D2,D3,D4",11,183
"v4cross-b-pt-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C3,C4,D1,D2,D3,D4",12,183
"v4cross-b-pt-aware","aware",NA,"A1,A2,A3,A4,B1,B2,B3,B4,C4,D1,D2,D3,D4",19,183
