"char","type","pZ0_eco1","pZ1_eco1","pZ2_eco1","pAff_eco1","pZ0_eco2","pZ1_eco2","pZ2_eco2","pAff_eco2","pZ0_eco3","pZ1_eco3","pZ2_eco3","pAff_eco3"
1,"neomorphic",0.61590524534687,0.0998307952622673,0.284263959390863,0.38409475465313,0.470389170896785,0.299492385786802,0.230118443316413,0.529610829103215,0.487309644670051,0.331641285956007,0.181049069373942,0.512690355329949
2,"neomorphic",0.387478849407783,0.0321489001692047,0.580372250423012,0.612521150592217,0.445008460236887,0.22165820642978,0.333333333333333,0.554991539763113,0.441624365482233,0.0795262267343486,0.478849407783418,0.558375634517767
3,"neomorphic",0.583756345177665,0.0846023688663283,0.331641285956007,0.416243654822335,0.460236886632826,0.304568527918782,0.235194585448393,0.539763113367174,0.526226734348562,0.213197969543147,0.260575296108291,0.473773265651438
4,"transformational",0.362098138747885,0.00676818950930626,0.631133671742809,0.637901861252115,0.44839255499154,0.318104906937394,0.233502538071066,0.55160744500846,0.38409475465313,0.521150592216582,0.0947546531302876,0.61590524534687
5,"neomorphic",0.56175972927242,0.213197969543147,0.225042301184433,0.43824027072758,0.458544839255499,0.313028764805415,0.228426395939086,0.541455160744501,0.55160744500846,0.233502538071066,0.214890016920474,0.44839255499154
6,"transformational",0.373942470389171,0.00676818950930626,0.619289340101523,0.626057529610829,0.39424703891709,0.38409475465313,0.22165820642978,0.60575296108291,0.49746192893401,0.197969543147208,0.304568527918782,0.50253807106599
7,"transformational",0.416243654822335,0.0439932318104907,0.539763113367174,0.583756345177665,0.453468697123519,0.236886632825719,0.309644670050761,0.546531302876481,0.487309644670051,0.11844331641286,0.39424703891709,0.512690355329949
8,"neomorphic",0.592216582064298,0.179357021996616,0.228426395939086,0.407783417935702,0.458544839255499,0.291032148900169,0.250423011844332,0.541455160744501,0.50761421319797,0.294416243654822,0.197969543147208,0.49238578680203
9,"neomorphic",0.583756345177665,0.204737732656514,0.211505922165821,0.416243654822335,0.463620981387479,0.297800338409475,0.238578680203046,0.536379018612521,0.517766497461929,0.228426395939086,0.253807106598985,0.482233502538071
10,"neomorphic",0.614213197969543,0.130287648054146,0.255499153976311,0.385786802030457,0.472081218274112,0.289340101522843,0.238578680203046,0.527918781725888,0.50761421319797,0.255499153976311,0.236886632825719,0.49238578680203
11,"neomorphic",0.588832487309645,0.138747884940778,0.272419627749577,0.411167512690355,0.456852791878173,0.306260575296108,0.236886632825719,0.543147208121827,0.505922165820643,0.241962774957699,0.252115059221658,0.494077834179357
12,"neomorphic",0.475465313028765,0.0524534686971235,0.472081218274112,0.524534686971235,0.453468697123519,0.274111675126904,0.272419627749577,0.546531302876481,0.470389170896785,0.135363790186125,0.39424703891709,0.529610829103215
13,"neomorphic",0.500846023688663,0.187817258883249,0.311336717428088,0.499153976311337,0.44839255499154,0.313028764805415,0.238578680203046,0.55160744500846,0.539763113367174,0.230118443316413,0.230118443316413,0.460236886632826
14,"neomorphic",0.412859560067682,0.541455160744501,0.0456852791878173,0.587140439932318,0.478849407783418,0.284263959390863,0.236886632825719,0.521150592216582,0.519458544839255,0.269035532994924,0.211505922165821,0.480541455160745
15,"neomorphic",0.620981387478849,0.109983079526227,0.269035532994924,0.379018612521151,0.43824027072758,0.318104906937394,0.243654822335025,0.56175972927242,0.495769881556684,0.267343485617597,0.236886632825719,0.504230118443316
16,"transformational",0.526226734348562,0.0964467005076142,0.377326565143824,0.473773265651438,0.446700507614213,0.304568527918782,0.248730964467005,0.553299492385787,0.439932318104907,0.16243654822335,0.397631133671743,0.560067681895093
17,"neomorphic",0.350253807106599,0.0101522842639594,0.639593908629442,0.649746192893401,0.470389170896785,0.260575296108291,0.269035532994924,0.529610829103215,0.548223350253807,0.27580372250423,0.175972927241963,0.451776649746193
18,"transformational",0.671742808798646,0.187817258883249,0.140439932318105,0.328257191201354,0.468697123519459,0.243654822335025,0.287648054145516,0.531302876480541,0.509306260575296,0.260575296108291,0.230118443316413,0.490693739424704
19,"neomorphic",0.33502538071066,0.649746192893401,0.0152284263959391,0.66497461928934,0.426395939086294,0.269035532994924,0.304568527918782,0.573604060913706,0.372250423011844,0.0710659898477157,0.55668358714044,0.627749576988156
20,"transformational",0.532994923857868,0.0879864636209814,0.379018612521151,0.467005076142132,0.436548223350254,0.263959390862944,0.299492385786802,0.563451776649746,0.456852791878173,0.0981387478849408,0.445008460236887,0.543147208121827
21,"transformational",0.143824027072758,0.00338409475465313,0.852791878172589,0.856175972927242,0.414551607445008,0.387478849407783,0.197969543147208,0.585448392554992,0.494077834179357,0.316412859560068,0.189509306260575,0.505922165820643
22,"transformational",0.6751269035533,0.101522842639594,0.223350253807107,0.3248730964467,0.423011844331641,0.417935702199662,0.159052453468697,0.576988155668359,0.495769881556684,0.181049069373942,0.323181049069374,0.504230118443316
23,"neomorphic",0.309644670050761,0.011844331641286,0.678510998307953,0.690355329949239,0.467005076142132,0.208121827411168,0.3248730964467,0.532994923857868,0.392554991539763,0.0524534686971235,0.554991539763113,0.607445008460237
24,"neomorphic",0.685279187817259,0.00676818950930626,0.307952622673435,0.314720812182741,0.38409475465313,0.147208121827411,0.468697123519459,0.61590524534687,0.578680203045685,0.248730964467005,0.17258883248731,0.421319796954315
25,"neomorphic",0.573604060913706,0.22673434856176,0.199661590524535,0.426395939086294,0.353637901861252,0.214890016920474,0.431472081218274,0.646362098138748,0.516074450084602,0.209813874788494,0.274111675126904,0.483925549915398
26,"neomorphic",0.883248730964467,0.0135363790186125,0.10321489001692,0.116751269035533,0.353637901861252,0.55668358714044,0.089678510998308,0.646362098138748,0.651438240270728,0.16751269035533,0.181049069373942,0.348561759729272
27,"transformational",0.316412859560068,0.00676818950930626,0.676818950930626,0.683587140439932,0.372250423011844,0.385786802030457,0.241962774957699,0.627749576988156,0.390862944162437,0.0710659898477157,0.538071065989848,0.609137055837564
28,"transformational",0.2165820642978,0,0.7834179357022,0.7834179357022,0.428087986463621,0.370558375634518,0.201353637901861,0.571912013536379,0.445008460236887,0.306260575296108,0.248730964467005,0.554991539763113
29,"neomorphic",0.358714043993232,0.614213197969543,0.027072758037225,0.641285956006768,0.460236886632826,0.194585448392555,0.345177664974619,0.539763113367174,0.458544839255499,0.0846023688663283,0.456852791878173,0.541455160744501
30,"transformational",0.0676818950930626,0,0.932318104906937,0.932318104906937,0.441624365482233,0.291032148900169,0.267343485617597,0.558375634517767,0.468697123519459,0.0998307952622673,0.431472081218274,0.531302876480541
31,"neomorphic",0.844331641285956,0.0541455160744501,0.101522842639594,0.155668358714044,0.439932318104907,0.372250423011844,0.187817258883249,0.560067681895093,0.399323181049069,0.077834179357022,0.522842639593909,0.600676818950931
32,"transformational",0.0998307952622673,0,0.900169204737733,0.900169204737733,0.468697123519459,0.214890016920474,0.316412859560068,0.531302876480541,0.467005076142132,0.206429780033841,0.326565143824027,0.532994923857868
33,"neomorphic",0.368866328257191,0.0321489001692047,0.598984771573604,0.631133671742809,0.397631133671743,0.404399323181049,0.197969543147208,0.602368866328257,0.407783417935702,0.0693739424703892,0.522842639593909,0.592216582064298
34,"neomorphic",0.109983079526227,0.0050761421319797,0.884940778341794,0.890016920473773,0.461928934010152,0.307952622673435,0.230118443316413,0.538071065989848,0.512690355329949,0.331641285956007,0.155668358714044,0.487309644670051
35,"neomorphic",0.56175972927242,0.160744500846024,0.277495769881557,0.43824027072758,0.450084602368866,0.314720812182741,0.235194585448393,0.549915397631134,0.505922165820643,0.247038917089679,0.247038917089679,0.494077834179357
36,"transformational",0.367174280879865,0,0.632825719120135,0.632825719120135,0.456852791878173,0.142131979695431,0.401015228426396,0.543147208121827,0.505922165820643,0.133671742808799,0.360406091370558,0.494077834179357
37,"neomorphic",0.604060913705584,0.111675126903553,0.284263959390863,0.395939086294416,0.436548223350254,0.309644670050761,0.253807106598985,0.563451776649746,0.470389170896785,0.33502538071066,0.194585448392555,0.529610829103215
38,"neomorphic",0.439932318104907,0.0050761421319797,0.554991539763113,0.560067681895093,0.453468697123519,0.137055837563452,0.409475465313029,0.546531302876481,0.499153976311337,0.252115059221658,0.248730964467005,0.500846023688663
39,"transformational",0.292724196277496,0.00676818950930626,0.700507614213198,0.707275803722504,0.360406091370558,0.50761421319797,0.131979695431472,0.639593908629442,0.419627749576988,0.509306260575296,0.0710659898477157,0.580372250423012
40,"neomorphic",0.468697123519459,0.419627749576988,0.111675126903553,0.531302876480541,0.375634517766497,0.204737732656514,0.419627749576988,0.624365482233503,0.539763113367174,0.262267343485618,0.197969543147208,0.460236886632826
41,"neomorphic",0.360406091370558,0.027072758037225,0.612521150592217,0.639593908629442,0.451776649746193,0.274111675126904,0.274111675126904,0.548223350253807,0.468697123519459,0.196277495769882,0.33502538071066,0.531302876480541
42,"transformational",0.199661590524535,0.00169204737732657,0.798646362098139,0.800338409475465,0.372250423011844,0.548223350253807,0.0795262267343486,0.627749576988156,0.461928934010152,0.0947546531302876,0.44331641285956,0.538071065989848
43,"transformational",0.406091370558376,0,0.593908629441624,0.593908629441624,0.468697123519459,0.235194585448393,0.296108291032149,0.531302876480541,0.568527918781726,0.0744500846023689,0.357021996615905,0.431472081218274
44,"neomorphic",0.206429780033841,0.0050761421319797,0.788494077834179,0.793570219966159,0.461928934010152,0.279187817258883,0.258883248730964,0.538071065989848,0.632825719120135,0.169204737732657,0.197969543147208,0.367174280879865
45,"transformational",0.55160744500846,0.409475465313029,0.038917089678511,0.44839255499154,0.467005076142132,0.272419627749577,0.260575296108291,0.532994923857868,0.439932318104907,0.311336717428088,0.248730964467005,0.560067681895093
46,"neomorphic",0.274111675126904,0.011844331641286,0.71404399323181,0.725888324873097,0.434856175972927,0.206429780033841,0.358714043993232,0.565143824027073,0.428087986463621,0.050761421319797,0.521150592216582,0.571912013536379
47,"neomorphic",0.521150592216582,0.468697123519459,0.0101522842639594,0.478849407783418,0.470389170896785,0.338409475465313,0.191201353637902,0.529610829103215,0.560067681895093,0.133671742808799,0.306260575296108,0.439932318104907
48,"neomorphic",0.597292724196278,0.0812182741116751,0.321489001692047,0.402707275803722,0.472081218274112,0.289340101522843,0.238578680203046,0.527918781725888,0.527918781725888,0.247038917089679,0.225042301184433,0.472081218274112
49,"neomorphic",0.585448392554992,0.133671742808799,0.28087986463621,0.414551607445008,0.475465313028765,0.296108291032149,0.228426395939086,0.524534686971235,0.512690355329949,0.228426395939086,0.258883248730964,0.487309644670051
50,"neomorphic",0.065989847715736,0,0.934010152284264,0.934010152284264,0.460236886632826,0.263959390862944,0.27580372250423,0.539763113367174,0.578680203045685,0.0575296108291032,0.363790186125212,0.421319796954315
